Source,Target
U0000,U0001
U0000,U0009
U0000,U0054
U0000,U0077
U0000,U0222
U0000,U0136
U0000,U0238
U0000,U0239
U0000,U0080
U0000,U3116
U0000,U0188
U0000,U0418
U0000,U3117
U0000,U3118
U0000,U3119
U0000,U0633
U0000,U0212
U0000,U0169
U0000,U0743
U0000,U0741
U0000,U0742
U0000,U0718
U0000,U0144
U0000,U0473
U0000,U0894
U0000,U0183
U0000,U0895
U0000,U0890
U0000,U0941
U0000,U3120
U0000,U0963
U0000,U3121
U0000,U0973
U0000,U0403
U0000,U0972
U0000,U3122
U0000,U3123
U0000,U0060
U0000,U1021
U0000,U1103
U0000,U0685
U0000,U1423
U0000,U1424
U0000,U0727
U0000,U0249
U0000,U0086
U0000,U1463
U0000,U1573
U0000,U1613
U0000,U3124
U0000,U0352
U0000,U1281
U0000,U0008
U0000,U0271
U0000,U1303
U0000,U1481
U0000,U3125
U0000,U0253
U0000,U0377
U0000,U3126
U0000,U3126
U0001,U0000
U0001,U0103
U0001,U2058
U0002,U0000
U0002,U0375
U0002,U0376
U0002,U1616
U0003,U0049
U0003,U0050
U0003,U0051
U0003,U3127
U0003,U0080
U0003,U0006
U0004,U0005
U0004,U0006
U0004,U0048
U0005,U0006
U0005,U0048
U0005,U0323
U0005,U1172
U0005,U1173
U0005,U3125
U0005,U0253
U0006,U0045
U0006,U0060
U0006,U0061
U0006,U0062
U0006,U0007
U0006,U0063
U0006,U0054
U0006,U0064
U0006,U0048
U0006,U0077
U0006,U0053
U0006,U0136
U0006,U0267
U0006,U0699
U0006,U0786
U0006,U1060
U0006,U1131
U0006,U1481
U0006,U0377
U0007,U0005
U0007,U0006
U0007,U0006
U0007,U0017
U0007,U0063
U0007,U0054
U0007,U3116
U0007,U0085
U0007,U0144
U0007,U0357
U0007,U0358
U0007,U3128
U0007,U0365
U0007,U0366
U0007,U0367
U0007,U0368
U0007,U0547
U0007,U0893
U0007,U0336
U0007,U0000
U0007,U0473
U0007,U0403
U0007,U0146
U0007,U0955
U0007,U0957
U0007,U0956
U0007,U0212
U0007,U3124
U0007,U1225
U0007,U0817
U0007,U0378
U0007,U0077
U0007,U3129
U0007,U1221
U0007,U0685
U0007,U0124
U0007,U3130
U0007,U0691
U0007,U0706
U0007,U1236
U0007,U0323
U0007,U1600
U0007,U3131
U0007,U1687
U0007,U0484
U0007,U3095
U0007,U3049
U0007,U3049
U0007,U0034
U0007,U0229
U0007,U1234
U0007,U1576
U0007,U1577
U0007,U1115
U0007,U3132
U0007,U2345
U0007,U2352
U0007,U2353
U0007,U2354
U0007,U2328
U0007,U0209
U0007,U2485
U0007,U2503
U0007,U3133
U0007,U3134
U0007,U2712
U0007,U2767
U0007,U2854
U0007,U2905
U0007,U0617
U0007,U2384
U0007,U2260
U0007,U0168
U0007,U3084
U0007,U0901
U0007,U0008
U0007,U0008
U0007,U0271
U0007,U0271
U0007,U0253
U0007,U0253
U0007,U0253
U0007,U0253
U0007,U3125
U0007,U3125
U0007,U3125
U0007,U1481
U0008,U0009
U0008,U0039
U0008,U0058
U0008,U0066
U0008,U0054
U0008,U0067
U0008,U0068
U0008,U0069
U0008,U0152
U0008,U0053
U0008,U0414
U0008,U0040
U0008,U0040
U0008,U0729
U0008,U0690
U0008,U0091
U0008,U0091
U0008,U3135
U0008,U0077
U0008,U1337
U0008,U1344
U0008,U1514
U0008,U3136
U0008,U1516
U0008,U1515
U0008,U0092
U0008,U1614
U0008,U0000
U0008,U1728
U0008,U3137
U0008,U3138
U0008,U1834
U0008,U0197
U0008,U2767
U0008,U3083
U0008,U0703
U0008,U0704
U0008,U0749
U0008,U0875
U0008,U0887
U0008,U0076
U0008,U3139
U0008,U3139
U0008,U0471
U0008,U3140
U0008,U3140
U0008,U0007
U0008,U0007
U0008,U0007
U0008,U0007
U0008,U0280
U0008,U0280
U0008,U0855
U0008,U3003
U0008,U3088
U0008,U3089
U0008,U0652
U0008,U0390
U0008,U0391
U0008,U0392
U0008,U0285
U0008,U0286
U0008,U0287
U0008,U1574
U0008,U1574
U0008,U0242
U0008,U3049
U0008,U3049
U0008,U3049
U0008,U3084
U0008,U3084
U0008,U0038
U0008,U0038
U0008,U0227
U0008,U1002
U0008,U1001
U0008,U0284
U0008,U1586
U0008,U1584
U0008,U1585
U0008,U3141
U0008,U1839
U0008,U0710
U0008,U3142
U0008,U3070
U0008,U3052
U0008,U3106
U0008,U0026
U0008,U0114
U0008,U0024
U0008,U0025
U0008,U0115
U0008,U0116
U0008,U0400
U0008,U0080
U0008,U1179
U0008,U0706
U0008,U1246
U0008,U0498
U0008,U1247
U0008,U1232
U0008,U0131
U0008,U3143
U0008,U1144
U0008,U1270
U0008,U1438
U0008,U1714
U0008,U2328
U0008,U0170
U0008,U2537
U0008,U2503
U0008,U3144
U0008,U2835
U0008,U0808
U0008,U2893
U0008,U2931
U0008,U0838
U0008,U0984
U0008,U1257
U0008,U0786
U0008,U1642
U0008,U2152
U0008,U2567
U0008,U0278
